iter	Passed	Remaining
727	4028	7038
728	4031	7029
729	4036	7021
730	4040	7014
731	4045	7008
732	4050	7002
733	4055	6994
734	4061	6990
735	4066	6983
736	4070	6975
737	4076	6971
738	4080	6963
739	4084	6954
740	4089	6948
741	4095	6943
742	4101	6939
743	4109	6938
744	4117	6935
745	4122	6929
746	4127	6923
747	4132	6917
748	4136	6909
749	4142	6904
750	4147	6897
751	4152	6891
752	4158	6886
753	4162	6878
754	4167	6871
755	4171	6864
756	4176	6857
757	4180	6849
758	4185	6843
759	4191	6838
760	4195	6831
761	4199	6823
762	4205	6818
763	4210	6811
764	4214	6803
765	4218	6796
766	4224	6791
767	4228	6783
768	4233	6777
769	4239	6772
770	4245	6767
771	4250	6760
772	4254	6752
773	4259	6746
774	4263	6739
775	4269	6735
776	4273	6727
777	4278	6720
778	4283	6714
779	4289	6708
780	4293	6700
781	4298	6694
782	4303	6688
783	4306	6680
784	4310	6671
785	4315	6665
786	4320	6659
787	4324	6651
788	4328	6644
789	4333	6638
790	4338	6631
791	4342	6623
792	4349	6620
793	4355	6614
794	4362	6612
795	4369	6609
796	4375	6604
797	4380	6597
798	4385	6591
799	4390	6585
800	4394	6578
801	4399	6571
802	4402	6563
803	4406	6555
804	4411	6548
805	4416	6541
806	4421	6535
807	4426	6530
808	4432	6524
809	4436	6518
810	4442	6512
811	4448	6507
812	4452	6501
813	4458	6495
814	4463	6489
815	4466	6480
816	4471	6474
817	4475	6466
818	4479	6459
819	4483	6452
820	4487	6443
821	4491	6437
822	4496	6430
823	4500	6423
824	4505	6416
825	4510	6410
826	4515	6404
827	4519	6397
828	4526	6394
829	4531	6388
830	4536	6381
831	4542	6376
832	4546	6369
833	4550	6361
834	4555	6356
835	4560	6350
836	4565	6344
837	4570	6337
838	4575	6331
839	4579	6324
840	4584	6318
841	4590	6312
842	4596	6308
843	4601	6303
844	4608	6299
845	4615	6295
846	4619	6288
847	4624	6282
848	4629	6276
849	4633	6268
850	4638	6262
851	4643	6256
852	4647	6249
853	4652	6243
854	4657	6237
855	4662	6230
856	4666	6224
857	4672	6219
858	4677	6213
859	4682	6206
860	4687	6201
861	4692	6195
862	4696	6187
863	4702	6183
864	4707	6177
865	4711	6169
866	4715	6162
867	4721	6157
868	4725	6150
869	4729	6143
870	4734	6137
871	4739	6131
872	4743	6124
873	4748	6117
874	4752	6110
875	4757	6104
876	4762	6098
877	4768	6093
878	4772	6086
879	4776	6078
880	4782	6074
881	4786	6066
882	4791	6060
883	4796	6055
884	4800	6048
885	4805	6041
886	4808	6034
887	4813	6027
888	4817	6021
889	4822	6014
890	4825	6006
891	4830	6000
892	4836	5995
893	4841	5989
894	4847	5984
895	4853	5980
896	4857	5972
897	4862	5967
898	4867	5960
899	4870	5953
900	4874	5946
901	4881	5941
902	4885	5934
903	4889	5928
904	4894	5921
905	4898	5914
906	4902	5907
907	4907	5901
908	4913	5896
909	4917	5890
910	4921	5883
911	4927	5878
912	4931	5871
913	4935	5864
914	4940	5858
915	4945	5852
916	4949	5845
917	4954	5839
918	4960	5834
919	4964	5827
920	4969	5822
921	4975	5817
922	4980	5811
923	4984	5804
924	4990	5799
925	4996	5795
926	5000	5788
927	5005	5782
928	5011	5777
929	5015	5770
930	5018	5762
931	5023	5756
932	5028	5750
933	5032	5743
934	5037	5737
935	5042	5732
936	5047	5726
937	5052	5720
938	5056	5713
939	5061	5707
940	5065	5700
941	5071	5695
942	5077	5691
943	5085	5688
944	5092	5684
945	5097	5679
946	5103	5675
947	5108	5668
948	5113	5663
949	5117	5656
950	5122	5650
951	5126	5643
952	5130	5636
953	5135	5630
954	5139	5624
955	5144	5618
956	5149	5612
957	5154	5606
958	5158	5599
959	5164	5594
960	5169	5588
961	5174	5582
962	5178	5576
963	5183	5570
964	5187	5563
965	5191	5557
966	5197	5552
967	5202	5546
968	5206	5539
969	5210	5532
970	5214	5525
971	5219	5519
972	5223	5513
973	5228	5507
974	5233	5501
975	5238	5495
976	5242	5489
977	5248	5484
978	5253	5478
979	5257	5471
980	5262	5466
981	5266	5459
982	5270	5452
983	5275	5446
984	5280	5441
985	5284	5434
986	5288	5427
987	5294	5423
988	5299	5417
989	5304	5411
990	5309	5406
991	5314	5400
992	5319	5394
993	5327	5392
994	5334	5388
995	5340	5383
996	5345	5377
997	5350	5371
998	5354	5365
999	5360	5360
1000	5364	5354
1001	5368	5347
1002	5374	5341
1003	5378	5335
1004	5383	5330
1005	5388	5323
1006	5393	5318
1007	5398	5312
1008	5403	5306
1009	5408	5301
1010	5412	5295
1011	5417	5289
1012	5424	5284
1013	5429	5279
1014	5433	5272
1015	5439	5268
1016	5445	5263
1017	5449	5257
1018	5455	5252
1019	5460	5246
1020	5464	5239
1021	5468	5233
1022	5474	5227
1023	5478	5221
1024	5482	5215
1025	5489	5210
1026	5493	5204
1027	5497	5198
1028	5503	5192
1029	5507	5186
1030	5511	5180
1031	5516	5174
1032	5521	5169
1033	5526	5162
1034	5530	5156
1035	5537	5152
1036	5541	5146
1037	5545	5139
1038	5551	5134
1039	5556	5128
1040	5561	5123
1041	5568	5119
1042	5575	5115
1043	5582	5111
1044	5588	5107
1045	5593	5101
1046	5597	5094
1047	5603	5089
1048	5607	5083
1049	5612	5077
1050	5618	5073
1051	5622	5067
1052	5627	5061
1053	5633	5055
1054	5638	5050
1055	5643	5044
1056	5649	5040
1057	5654	5034
1058	5659	5028
1059	5666	5024
1060	5671	5019
1061	5674	5012
1062	5680	5007
1063	5685	5001
1064	5689	4994
1065	5694	4989
1066	5698	4982
1067	5703	4977
1068	5708	4971
1069	5713	4966
1070	5718	4960
1071	5723	4954
1072	5728	4949
1073	5734	4944
1074	5739	4938
1075	5744	4933
1076	5749	4926
1077	5753	4920
1078	5757	4914
1079	5762	4909
1080	5767	4903
1081	5771	4896
1082	5777	4892
1083	5782	4886
1084	5787	4880
1085	5792	4875
1086	5797	4869
1087	5802	4864
1088	5807	4858
1089	5812	4852
1090	5817	4847
1091	5825	4843
1092	5831	4838
1093	5837	4834
1094	5843	4829
1095	5847	4823
1096	5851	4817
1097	5858	4812
1098	5862	4806
1099	5866	4800
1100	5872	4794
1101	5877	4789
1102	5882	4784
1103	5887	4777
1104	5892	4772
1105	5897	4766
1106	5902	4761
1107	5908	4756
1108	5913	4751
1109	5918	4745
1110	5924	4740
1111	5929	4734
1112	5933	4729
1113	5939	4723
1114	5944	4718
1115	5948	4712
1116	5954	4707
1117	5959	4701
1118	5964	4695
1119	5969	4690
1120	5974	4684
1121	5979	4679
1122	5986	4675
1123	5991	4669
1124	5997	4664
1125	6003	4659
1126	6008	4654
1127	6013	4648
1128	6019	4643
1129	6022	4637
1130	6026	4630
1131	6030	4624
1132	6034	4617
1133	6038	4611
1134	6043	4605
1135	6048	4600
1136	6053	4594
1137	6058	4588
1138	6062	4583
1139	6070	4579
1140	6076	4574
1141	6083	4570
1142	6088	4565
1143	6093	4559
1144	6100	4555
1145	6105	4549
1146	6110	4544
1147	6115	4538
1148	6121	4533
1149	6125	4527
1150	6131	4522
1151	6136	4517
1152	6141	4511
1153	6147	4506
1154	6152	4501
1155	6157	4495
1156	6163	4490
1157	6168	4485
1158	6173	4479
1159	6179	4474
1160	6184	4469
1161	6189	4463
1162	6195	4459
1163	6201	4454
1164	6206	4448
1165	6212	4443
1166	6218	4438
1167	6221	4431
1168	6226	4426
1169	6232	4421
1170	6236	4415
1171	6242	4410
1172	6247	4405
1173	6252	4399
1174	6257	4393
1175	6262	4388
1176	6266	4382
1177	6270	4375
1178	6276	4370
1179	6280	4364
1180	6284	4358
1181	6288	4352
1182	6294	4347
1183	6298	4341
1184	6302	4334
1185	6308	4329
1186	6312	4323
1187	6318	4318
1188	6323	4313
1189	6330	4308
1190	6336	4304
1191	6342	4299
1192	6349	4295
1193	6354	4289
1194	6360	4284
1195	6364	4278
1196	6370	4273
1197	6374	4267
1198	6379	4262
1199	6386	4257
1200	6390	4251
1201	6395	4245
1202	6399	4239
1203	6405	4234
1204	6410	4229
1205	6414	4223
1206	6420	4218
1207	6425	4212
1208	6429	4206
1209	6434	4200
1210	6438	4195
1211	6443	4189
1212	6447	4183
1213	6453	4178
1214	6457	4172
1215	6462	4166
1216	6467	4160
1217	6471	4155
1218	6476	4149
1219	6481	4143
1220	6486	4138
1221	6491	4132
1222	6496	4127
1223	6501	4121
1224	6505	4115
1225	6509	4109
1226	6514	4104
1227	6520	4099
1228	6525	4093
1229	6530	4088
1230	6536	4083
1231	6540	4077
1232	6545	4071
1233	6549	4065
1234	6554	4060
1235	6559	4054
1236	6564	4048
1237	6568	4043
1238	6573	4037
1239	6577	4031
1240	6583	4026
1241	6588	4020
1242	6595	4016
1243	6600	4011
1244	6605	4005
1245	6611	4000
1246	6616	3995
1247	6621	3989
1248	6627	3984
1249	6632	3979
1250	6637	3973
1251	6643	3968
1252	6648	3963
1253	6653	3958
1254	6658	3952
1255	6664	3947
1256	6668	3941
1257	6673	3936
1258	6679	3931
1259	6684	3925
1260	6689	3920
1261	6693	3914
1262	6698	3908
1263	6703	3903
1264	6707	3897
1265	6713	3892
1266	6717	3886
1267	6723	3881
1268	6729	3876
1269	6734	3871
1270	6739	3865
1271	6743	3859
1272	6748	3853
1273	6752	3847
1274	6758	3843
1275	6763	3837
1276	6768	3831
1277	6773	3826
1278	6777	3820
1279	6782	3815
1280	6787	3809
1281	6792	3804
1282	6796	3798
1283	6801	3792
1284	6807	3787
1285	6811	3781
1286	6814	3775
1287	6820	3770
1288	6824	3764
1289	6828	3758
1290	6832	3752
1291	6838	3747
1292	6845	3742
1293	6850	3737
1294	6858	3733
1295	6865	3729
1296	6870	3723
1297	6875	3718
1298	6880	3713
1299	6887	3708
1300	6891	3702
1301	6896	3696
1302	6901	3691
1303	6906	3686
1304	6910	3680
1305	6915	3675
1306	6920	3669
1307	6924	3663
1308	6929	3658
1309	6935	3652
1310	6940	3647
1311	6945	3641
1312	6950	3636
1313	6955	3631
1314	6960	3625
1315	6965	3620
1316	6970	3614
1317	6974	3608
1318	6978	3603
1319	6983	3597
1320	6988	3592
1321	6992	3586
1322	6999	3581
1323	7003	3575
1324	7007	3569
1325	7011	3563
1326	7017	3558
1327	7021	3552
1328	7025	3547
1329	7031	3542
1330	7035	3536
1331	7039	3530
1332	7043	3524
1333	7049	3519
1334	7052	3513
1335	7056	3507
1336	7061	3501
1337	7066	3496
1338	7071	3491
1339	7078	3486
1340	7083	3481
1341	7087	3475
1342	7093	3470
1343	7098	3464
1344	7102	3459
1345	7107	3453
1346	7112	3448
1347	7119	3443
1348	7124	3438
1349	7130	3433
1350	7134	3427
1351	7139	3421
1352	7144	3416
1353	7148	3410
1354	7153	3405
1355	7159	3400
1356	7163	3394
1357	7167	3388
1358	7172	3382
1359	7177	3377
1360	7180	3371
1361	7185	3365
1362	7192	3361
1363	7196	3355
1364	7201	3350
1365	7207	3344
1366	7211	3339
1367	7216	3333
1368	7221	3328
1369	7226	3323
1370	7230	3317
1371	7234	3311
1372	7240	3306
1373	7246	3301
1374	7250	3295
1375	7255	3290
1376	7261	3285
